               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/lmark_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/lmark_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053943,            0.017712,                   0,            0.088682,               0.988,             0.98769,             0.99429,             0.70448,            0.022307,            0.011781,                   0,            0.050104,             0.07012,             0.00332,             0.00332
                   1,            0.027958,           0.0095121,                   0,            0.043737,             0.99452,             0.99749,             0.99491,             0.70324,            0.018564,           0.0061899,                   0,            0.030288,            0.039521,           0.0060545,           0.0060545
                   2,            0.021139,           0.0062705,                   0,            0.032309,             0.99435,              0.9985,             0.99493,             0.79689,            0.012944,           0.0048192,                   0,            0.023744,           0.0083224,           0.0081891,           0.0081891
                   3,            0.017558,           0.0052863,                   0,            0.025964,             0.99353,             0.99839,              0.9949,             0.90725,           0.0087976,           0.0041729,                   0,            0.017904,              0.0073,              0.0073,              0.0073
                   4,             0.01493,           0.0047128,                   0,            0.021767,             0.99806,              0.9985,               0.995,             0.90425,           0.0082618,           0.0037994,                   0,            0.016129,              0.0073,              0.0073,              0.0073
                   5,            0.013304,           0.0043059,                   0,            0.019039,             0.99663,              0.9975,               0.995,             0.91989,           0.0074974,           0.0033999,                   0,            0.013594,              0.0073,              0.0073,              0.0073
                   6,            0.012104,            0.004013,                   0,            0.017001,              0.9975,             0.99919,               0.995,             0.94682,           0.0062646,           0.0031716,                   0,             0.01221,              0.0073,              0.0073,              0.0073
                   7,            0.011042,           0.0037468,                   0,            0.015152,             0.99921,                   1,               0.995,             0.93946,           0.0063201,           0.0029974,                   0,            0.011616,              0.0073,              0.0073,              0.0073
                   8,            0.010094,           0.0035649,                   0,            0.013703,             0.99893,                   1,               0.995,             0.96632,           0.0055225,           0.0027898,                   0,            0.010641,              0.0073,              0.0073,              0.0073
                   9,           0.0093572,            0.003376,                   0,            0.012416,             0.99924,                   1,               0.995,             0.96946,           0.0053462,           0.0026987,                   0,             0.01016,              0.0073,              0.0073,              0.0073
